data-name,data-rarity,title,data-type,data-manufacturer,data-elements,data-content,data-sources,data-locations
Bone Shredder,d-epic,Dedicated Drop,smg-bl2,bandit,non-elemental fire shock corrosive slag,base-game,Bone Head 2.0 Named Enemy   Bone Head 3.0 Boss   Arguk the Butcher Named Enemy,Arid Nexus Badlands Digistruct Peak The Forest,splash-false parts-true dedicated-drop
Boom Puppy,c-rare,Quest Reward,assault-rifle-bl2,torgue,explosive,campaign-of-carnage,Walking the Dog Quest,Badass Crater of Badassitude,splash-true parts-true quest-reward-bl2
Buffalo,c-rare,Quest Reward,sniper-bl2,jakobs,non-elemental,base-game,Demon Hunter Quest,Lynchwood,splash-false parts-true quest-reward-bl2
Bunny,f-legendary,World Drop,launcher-bl2,tediore,fire shock corrosive slag explosive,base-game,Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn   Chubby Bones Rare Spawn,DAHL Abandon Arid Nexus Badlands Wam Bam Island Unassuming Docks,splash-true parts-true world-drop-bl2
Butcher,h-pearlescent,World Drop,shotgun-bl2,hyperion,non-elemental fire shock corrosive slag,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-false parts-true world-drop-bl2
CHOPPER,c-rare,Dedicated Drop,assault-rifle-bl2,bandit,non-elemental fire shock corrosive slag,big-game-hunt,Dexiduous Raid Boss,Hunter's Grotto,splash-false parts-true dedicated-drop
Carnage,h-pearlescent,Dedicated Drop,shotgun-bl2,torgue,explosive,digistruct-peak,Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn   Chubby Bones Rare Spawn,DAHL Abandon Arid Nexus Badlands Wam Bam Island Unassuming Docks,splash-true parts-true dedicated-drop
Chulainn,c-rare,Quest Reward,smg-bl2,maliwan,slag,base-game,Clan War: Zafords vs. Hodunks Quest,The Dust,splash-true parts-true quest-reward-bl2
Chère-amie,c-rare,Quest Reward,sniper-bl2,maliwan,fire shock corrosive slag,base-game,Hyperion Slaughter: Round 5 Quest,Ore Chasm,splash-false parts-true quest-reward-bl2
Cobra,c-rare,Dedicated Drop,sniper-bl2,jakobs,non-elemental,campaign-of-carnage,Pete's Burners Enemy,The Beatdown,splash-true parts-true dedicated-drop
Commerce,c-rare,Dedicated Drop,smg-bl2,hyperion,shock,base-game,Assassin Wot Named Enemy   Digi. Assassins Boss,Southpaw S&P Digistruct Peak,splash-false parts-true dedicated-drop
Conference Call,f-legendary,World Drop,shotgun-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,The Warrior Boss   Handsome Sorcerer Boss,Vault of the Warrior Dragon Keep,splash-false parts-true world-drop-bl2
Creamer,c-rare,Quest Reward,launcher-bl2,torgue,explosive,slaughterdome,Creature Slaughter: Round 5 Quest,Natural Selection Annex,splash-true parts-true quest-reward-bl2
Crit,c-rare,Quest Reward,smg-bl2,maliwan,shock,dragon-keep,Critical Fail Quest,Flamerock Refuge,splash-false parts-true quest-reward-bl2
Dahlminator,e-tech,Quest Reward,pistol-bl2,dahl,corrosive,base-game,The Lost Treasure Quest,Sawtooth Cauldron,splash-true parts-true quest-reward-bl2
Damned Cowboy,c-rare,Dedicated Drop,assault-rifle-bl2,jakobs,non-elemental,big-game-hunt,Bloodtail Named Enemy,Candlerakk's Crag,splash-false parts-true dedicated-drop
Deliverance,f-legendary,World Drop,shotgun-bl2,tediore,non-elemental fire shock corrosive slag,base-game,Tumbaa Rare Spawn   Gold Golem Boss,Wildlife Exploitation Preserve Mines of Avarice,splash-false parts-true world-drop-bl2
Devastator,g-seraph,Dedicated Drop,pistol-bl2,torgue,explosive,pirates-booty,Master Gee Raid Boss   Hyperius Raid Boss   Oasis Seraph Shop Shop,Hayter's Folly Washburne Refinery Oasis,splash-true parts-true dedicated-drop
Dog,c-rare,Dedicated Drop,shotgun-bl2,bandit,non-elemental fire shock corrosive slag,base-game,Assassin Rouf Named Enemy   Digi. Assassins Boss,Southpaw S&P Digistruct Peak,splash-false parts-true dedicated-drop
ERROR MESSAGE,g-seraph,Unobtainable,launcher-bl2,torgue,explosive,datamined,,,splash-true parts-true unobtainable
Elephant Gun,c-rare,Dedicated Drop,sniper-bl2,jakobs,non-elemental,big-game-hunt,Arizona Named Enemy,Hunter's Grotto,splash-false parts-true dedicated-drop
Emperor,f-legendary,World Drop,smg-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Assassin Wot Named Enemy   Assassin Oney Named Enemy   Assassin Reeth Named Enemy   Assassin Rouf Named Enemy,Southpaw S&P Southpaw S&P Southpaw S&P Southpaw S&P,splash-false parts-true world-drop-bl2
Evil Smasher,c-rare,Quest Reward,assault-rifle-bl2,torgue,explosive,base-game,The Chosen One Quest,Sawtooth Cauldron,splash-true parts-true quest-reward-bl2
Fibber,c-rare,Quest Reward,pistol-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,A Real Boy: Human Quest,Eridium Blight,splash-false parts-true quest-reward-bl2
Fire Drill,f-legendary,Unobtainable,pistol-bl2,vladof,fire,datamined,,,splash-false parts-true unobtainable
Flakker,f-legendary,World Drop,shotgun-bl2,torgue,explosive,base-game,The Warrior Boss   Handsome Sorcerer Boss   Torgue Machine Shop,Vault of the Warrior Dragon Keep Global - DLC 2,splash-true parts-true world-drop-bl2
Florentine,g-seraph,Shop Item,smg-bl2,maliwan,slag,dragon-keep,Refuge Seraph Shop Shop,Flamerock Refuge,splash-true parts-true shop-item
Fremington's Edge,c-rare,Dedicated Drop,sniper-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,Assassin Reeth Named Enemy   Digi. Assassins Boss,Southpaw S&P Digistruct Peak,splash-false parts-true dedicated-drop
Godfinger,h-pearlescent,Dedicated Drop,sniper-bl2,jakobs,non-elemental,digistruct-peak,Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn   Chubby Bones Rare Spawn,DAHL Abandon Arid Nexus Badlands Wam Bam Island Unassuming Docks,splash-false parts-true dedicated-drop
Good Touch,d-epic,Shop Item,smg-bl2,maliwan,fire,base-game,Moxxi's Tip Jar Unique,Sanctuary,splash-false parts-true shop-item
Greed,c-rare,Quest Reward,pistol-bl2,jakobs,fire,pirates-booty,X Marks The Spot Quest,Wurmwater,splash-false parts-true quest-reward-bl2
Grog Nozzle,c-rare,Quest Item,pistol-bl2,maliwan,slag,dragon-keep,The Beard Makes the Man Quest,Mines of Avarice,splash-true parts-true quest-item-bl2
Gub,f-legendary,World Drop,pistol-bl2,bandit,corrosive,base-game,Laney White Named Enemy,The Fridge,splash-false parts-true world-drop-bl2
Gunerang,f-legendary,World Drop,pistol-bl2,tediore,non-elemental fire shock corrosive slag,base-game,Rakkman Named Enemy   Master Gee Raid Boss,The Fridge Hayter's Folly,splash-false parts-true world-drop-bl2
Gwen's Head,c-rare,Discoverable,pistol-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Box In The Dust Location,The Dust,splash-false parts-true discoverable
Hail,c-rare,Quest Reward,assault-rifle-bl2,vladof,fire shock corrosive slag,base-game,Bandit Slaughter: Round 5 Quest,Fink's Slaughterhouse,splash-true parts-true quest-reward-bl2
Hammer Buster,f-legendary,World Drop,assault-rifle-bl2,jakobs,non-elemental,base-game,McNally Named Enemy,The Dust,splash-false parts-true world-drop-bl2
Hawk Eye,g-seraph,Dedicated Drop,sniper-bl2,jakobs,non-elemental,big-game-hunt,Voracidous Raid Boss   Dexiduous Raid Boss   Omnd-Omnd-Ohk Rare Spawn   Grotto Seraph Shop Shop,Candlerakk's Crag Hunter's Grotto Hunter's Grotto Hunter's Grotto,splash-false parts-true dedicated-drop
Heart Breaker,c-rare,Quest Reward,shotgun-bl2,hyperion,fire,base-game,Safe and Sound Quest,Caustic Caverns,splash-false parts-true quest-reward-bl2
Hector's Paradise,f-legendary,Quest Reward,pistol-bl2,dahl,shock,fight-for-sanctuary,Echoes of the Past Quest,Mt. Scarab Research Center,splash-true parts-true quest-reward-bl2
Hellfire,f-legendary,World Drop,smg-bl2,maliwan,fire,base-game,Scorch Named Enemy   Digi. Scorch Boss   Sully the Blacksmith Named Enemy,Frostburn Canyon Digistruct Peak Hallowed Hollow,splash-true parts-true world-drop-bl2
Hive,c-rare,Dedicated Drop,launcher-bl2,maliwan,corrosive,base-game,Saturn Boss   Saturn 2.0 Boss,Arid Nexus Badlands Digistruct Peak,splash-true parts-true dedicated-drop
Hornet,f-legendary,World Drop,pistol-bl2,dahl,corrosive,base-game,Knuckle Dragger Boss   Hyperius Raid Boss,Windshear Waste Washburne Refinery,splash-true parts-true world-drop-bl2
Hot Mama,i-effervescent,Dedicated Drop,sniper-bl2,jakobs,fire,fight-for-sanctuary,Lt. Hoffman Named Enemy,Mt. Scarab Research Center,splash-false parts-true dedicated-drop
Hydra,c-rare,Dedicated Drop,shotgun-bl2,jakobs,non-elemental,big-game-hunt,Rouge Named Enemy,Candlerakk's Crag,splash-false parts-true dedicated-drop
Infection,g-seraph,Shop Item,pistol-bl2,maliwan,corrosive,big-game-hunt,Voracidous Raid Boss   Dexiduous Raid Boss   Omnd-Omnd-Ohk Rare Spawn   Grotto Seraph Shop Shop,Candlerakk's Crag Hunter's Grotto Hunter's Grotto Hunter's Grotto,splash-true parts-true shop-item
Infection Cleaner,i-effervescent,Dedicated Drop,smg-bl2,tediore,fire,fight-for-sanctuary,New Pandora Soldiers Enemy   Lt. Angvar Boss   Lt. Tetra Named Enemy,Global - DLC 5 The Burrows Helios Fallen,splash-false parts-true dedicated-drop
Infinity,f-legendary,World Drop,pistol-bl2,vladof,non-elemental fire shock corrosive,base-game,Lt. Angvar Boss   Gold Golem Boss   Chubby Bones Rare Spawn   Doc Mercy Named Enemy,The Burrows Mines of Avarice Unassuming Docks Three Horns Valley,splash-false parts-true world-drop-bl2
Interfacer,g-seraph,Dedicated Drop,shotgun-bl2,hyperion,non-elemental fire shock corrosive slag,big-game-hunt,Voracidous Raid Boss   Dexiduous Raid Boss   Omnd-Omnd-Ohk Rare Spawn   Grotto Seraph Shop Shop,Candlerakk's Crag Hunter's Grotto Hunter's Grotto Hunter's Grotto,splash-false parts-true dedicated-drop
Invader,f-legendary,World Drop,sniper-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,Saturn Boss   Saturn 2.0 Boss,Arid Nexus Badlands Digistruct Peak,splash-false parts-true world-drop-bl2
Jolly Roger,c-rare,Quest Reward,shotgun-bl2,bandit,non-elemental fire shock corrosive slag,pirates-booty,Just Desserts For Desert Deserters Quest,Wurmwater,splash-false parts-true quest-reward-bl2
Judge,c-rare,Dedicated Drop,pistol-bl2,jakobs,non-elemental,base-game,Assassin Oney Named Enemy   Digi. Assassins Boss,Southpaw S&P Digistruct Peak,splash-false parts-true dedicated-drop
KerBlaster,f-legendary,World Drop,assault-rifle-bl2,torgue,explosive,base-game,Midge-Mong Named Enemy   Handsome Sorcerer Boss   Torgue Machine Shop,Southern Shelf Bay Dragon Keep Global - DLC 2,splash-true parts-true world-drop-bl2
Kitten,c-rare,Quest Reward,assault-rifle-bl2,vladof,fire shock corrosive slag,campaign-of-carnage,Everybody Wants to be Wanted Quest,Badass Crater - Bar,splash-false parts-true quest-reward-bl2
Lady Fist,c-rare,Quest Reward,pistol-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,Uncle Teddy Quest,Arid Nexus Badlands,splash-false parts-true quest-reward-bl2
Landscaper,c-rare,Quest Reward,shotgun-bl2,torgue,explosive,base-game,Clan War: Zafords vs. Hodunks Quest,The Dust,splash-true parts-true quest-reward-bl2
Lascaux,c-rare,Discoverable,smg-bl2,dahl,non-elemental,base-game,Pond In Frostburn Canyon Location,Frostburn Canyon,splash-false parts-true discoverable
Law,c-rare,Dedicated Drop,pistol-bl2,jakobs,non-elemental,base-game,Sheriff of Lynchwood Named Enemy   Won't Get Fooled Again Quest,Lynchwood Sanctuary,splash-false parts-true dedicated-drop
Lead Storm,g-seraph,Shop Item,assault-rifle-bl2,vladof,non-elemental fire shock corrosive slag,big-game-hunt,Voracidous Raid Boss   Dexiduous Raid Boss   Omnd-Omnd-Ohk Rare Spawn   Grotto Seraph Shop Shop,Candlerakk's Crag Hunter's Grotto Hunter's Grotto Hunter's Grotto,splash-false parts-true shop-item
Little Evie,c-rare,Dedicated Drop,pistol-bl2,maliwan,shock,pirates-booty,Mr. Bubbles & Lil' Sis Rare Spawn,Magnys Lighthouse,splash-true parts-true dedicated-drop
Logan's Gun,f-legendary,World Drop,pistol-bl2,hyperion,fire,base-game,Wilhelm Boss,End of the Line,splash-true parts-true world-drop-bl2
Longbow,f-legendary,Dedicated Drop,sniper-bl2,hyperion,fire,base-game,Badass Creeper Enemy,Caustic Caverns,splash-false parts-true dedicated-drop
Lyuda,f-legendary,World Drop,sniper-bl2,vladof,non-elemental fire shock corrosive slag,base-game,Gettle Named Enemy,The Dust,splash-false parts-true world-drop-bl2
M2828 Thumpson,f-legendary,Discoverable,assault-rifle-bl2,jakobs,non-elemental,fight-for-sanctuary,Grave in Dahl Abandon Location,DAHL Abandon,splash-false parts-true discoverable
Madhous!,f-legendary,World Drop,assault-rifle-bl2,bandit,non-elemental fire shock corrosive slag,base-game,Mad Dog Named Enemy,Lynchwood,splash-false parts-true world-drop-bl2
Maggie,f-legendary,World Drop,pistol-bl2,jakobs,non-elemental,base-game,Mick Zaford Named Enemy,The Dust,splash-false parts-true world-drop-bl2
Mongol,f-legendary,World Drop,launcher-bl2,vladof,fire shock corrosive slag explosive,base-game,Dukino's Mom Boss   Digi. Dukino's Mom Boss,Lynchwood Digistruct Peak,splash-true parts-true world-drop-bl2
Morningstar,c-rare,Quest Reward,sniper-bl2,hyperion,non-elemental fire shock corrosive slag,base-game,Hyperion Contract #873 Quest,The Highlands,splash-false parts-true quest-reward-bl2
Nirvana,i-effervescent,Dedicated Drop,smg-bl2,maliwan,fire,fight-for-sanctuary,Infected Badass Sapling Enemy,Global - DLC 5,splash-true parts-true dedicated-drop
Norfleet,f-legendary,Dedicated Drop,launcher-bl2,maliwan,fire shock corrosive slag,base-game,Vermivorous Raid Boss   Hyperius Raid Boss,Wam Bam Island Washburne Refinery,splash-true parts-true dedicated-drop
Nukem,f-legendary,World Drop,launcher-bl2,torgue,explosive,base-game,The Black Queen Rare Spawn   Digi. Black Queen Boss   Torgue Machine Shop,The Dust Digistruct Peak Global - DLC 2,splash-true parts-true world-drop-bl2
Octo,c-rare,Quest Reward,shotgun-bl2,tediore,non-elemental fire shock corrosive slag,base-game,Slap Happy Quest,Highlands Outwash,splash-false parts-true quest-reward-bl2
Ogre,f-legendary,Dedicated Drop,assault-rifle-bl2,torgue,explosive,dragon-keep,Warlord Slog Named Enemy,Murderlin's Temple,splash-true parts-true dedicated-drop
Omen,g-seraph,Dedicated Drop,shotgun-bl2,tediore,non-elemental fire shock corrosive slag,dragon-keep,Ancient Dragons Raid Boss,The Winged Storm,splash-true parts-true dedicated-drop
Orc,d-epic,Quest Reward,smg-bl2,bandit,non-elemental fire shock corrosive slag,dragon-keep,Magic Slaughter Quest,Murderlin's Temple,splash-false parts-true quest-reward-bl2
Orphan Maker,c-rare,Quest Reward,shotgun-bl2,jakobs,non-elemental,pirates-booty,Message in a Bottle: Oasis Quest,Oasis,splash-false parts-true quest-reward-bl2
Overcompensator,f-legendary,Quest Reward,shotgun-bl2,hyperion,non-elemental fire shock corrosive slag,fight-for-sanctuary,Chief Executive Overlord Quest,The Backburner,splash-false parts-true quest-reward-bl2
Patriot,g-seraph,Dedicated Drop,sniper-bl2,vladof,non-elemental fire shock corrosive slag,pirates-booty,Master Gee Raid Boss   Oasis Seraph Shop Shop,Hayter's Folly Oasis,splash-false parts-true dedicated-drop
Peak Opener,i-effervescent,Dedicated Drop,assault-rifle-bl2,torgue,shock,fight-for-sanctuary,Haderax Raid Boss,Writhing Deep,splash-false parts-true dedicated-drop
Pimpernel,c-rare,Quest Reward,sniper-bl2,maliwan,fire shock corrosive slag,pirates-booty,Don't copy that floppy Quest,Washburne Refinery,splash-true parts-true quest-reward-bl2
Pitchfork,f-legendary,World Drop,sniper-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Terramorphous Raid Boss   Master Gee Raid Boss,Terramorphous Peak Hayter's Folly,splash-false parts-true world-drop-bl2
Pocket Rocket,c-rare,Shop Item,pistol-bl2,torgue,explosive,campaign-of-carnage,Torgue Machine Shop,Global - DLC 2,splash-true parts-true shop-item
Pyrophobia,f-legendary,World Drop,launcher-bl2,maliwan,fire,base-game,Cryptkeeper Clark Named Enemy   Incinerator Clayton Named Enemy   Hyperius Raid Boss,Hallowed Hollow Frostburn Canyon Washburne Refinery,splash-true parts-true world-drop-bl2
Rapier,c-rare,Quest Reward,assault-rifle-bl2,vladof,non-elemental fire shock corrosive slag,pirates-booty,Message in a Bottle: Hayters Folly Quest,Hayter's Folly,splash-false parts-true quest-reward-bl2
Retcher,g-seraph,Dedicated Drop,shotgun-bl2,tediore,corrosive,pirates-booty,Hyperius Raid Boss   Oasis Seraph Shop Shop,Washburne Refinery Oasis,splash-true parts-true dedicated-drop
Rex,c-rare,Dedicated Drop,pistol-bl2,jakobs,non-elemental,big-game-hunt,Bulstoss Named Enemy,Hunter's Grotto,splash-false parts-true dedicated-drop
Roaster,c-rare,Quest Reward,launcher-bl2,bandit,fire shock corrosive slag explosive,base-game,Note for Self-Person Quest,The Fridge,splash-true parts-true quest-reward-bl2
RokSalt,c-rare,Quest Reward,shotgun-bl2,bandit,non-elemental fire shock corrosive slag,base-game,Splinter Group Quest,Bloodshot Stronghold,splash-false parts-true quest-reward-bl2
Rubi,c-rare,Quest Reward,pistol-bl2,maliwan,fire shock corrosive slag,base-game,Rakkaholics Anonymous Quest,Sanctuary,splash-true parts-true quest-reward-bl2
SWORDSPLOSION,e-tech,Quest Reward,shotgun-bl2,torgue,explosive,dragon-keep,The Sword in The Stoner Quest,Unassuming Docks,splash-true parts-true quest-reward-bl2
Sand Hawk,c-rare,Quest Reward,smg-bl2,dahl,non-elemental fire shock corrosive slag,pirates-booty,Whoops Quest,Washburne Refinery,splash-false parts-true quest-reward-bl2
Sawbar,h-pearlescent,World Drop,assault-rifle-bl2,bandit,fire,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-true parts-true world-drop-bl2
Scorpio,c-rare,Quest Reward,assault-rifle-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Bearer of Bad News Quest,Sanctuary,splash-false parts-true quest-reward-bl2
Seeker,g-seraph,Shop Item,assault-rifle-bl2,torgue,explosive,dragon-keep,Refuge Seraph Shop Shop,Flamerock Refuge,splash-true parts-true shop-item
Seraphim,g-seraph,Shop Item,assault-rifle-bl2,dahl,fire,pirates-booty,Master Gee Raid Boss   Oasis Seraph Shop Shop,Hayter's Folly Oasis,splash-false parts-true shop-item
Shotgun 1340,c-rare,Quest Reward,shotgun-bl2,hyperion,non-elemental,base-game,Out of Body Experience Quest,Bloodshot Ramparts,splash-false parts-true quest-reward-bl2
Shredifier,f-legendary,World Drop,assault-rifle-bl2,vladof,non-elemental fire shock corrosive slag,base-game,Hyperius Raid Boss,Washburne Refinery,splash-false parts-true world-drop-bl2
Skullmasher,f-legendary,World Drop,sniper-bl2,jakobs,non-elemental,base-game,Son of Mothrakk Boss   Rakkanoth Named Enemy,Wildlife Exploitation Preserve Scylla's Grove,splash-false parts-true world-drop-bl2
Slagga,f-legendary,World Drop,smg-bl2,bandit,slag,base-game,Tector and Jimbo Hodunk Named Enemy   Sorcerer's Daughter Boss,The Dust Lair of Infinite Agony,splash-false parts-true world-drop-bl2
Sledge's Shotgun,f-legendary,World Drop,shotgun-bl2,bandit,non-elemental fire shock corrosive slag,base-game,Smash-Head Named Enemy   Gold Golem Boss   Hyperius Raid Boss,The Fridge Mines of Avarice Washburne Refinery,splash-false parts-true world-drop-bl2
Sloth,c-rare,Quest Reward,sniper-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Rakkaholics Anonymous Quest,Sanctuary,splash-false parts-true quest-reward-bl2
Slow Hand,e-tech,Dedicated Drop,shotgun-bl2,hyperion,fire shock corrosive slag,campaign-of-carnage,Badassasaurus Boss,Torgue Arena,splash-true parts-true dedicated-drop
Stalker,h-pearlescent,World Drop,pistol-bl2,vladof,non-elemental fire shock corrosive slag,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-false parts-true world-drop-bl2
Stinger,g-seraph,Dedicated Drop,pistol-bl2,vladof,non-elemental fire shock corrosive slag,dragon-keep,Ancient Dragons Raid Boss,The Winged Storm,splash-false parts-true dedicated-drop
Stinkpot,c-rare,Dedicated Drop,assault-rifle-bl2,jakobs,corrosive,pirates-booty,No-Beard Named Enemy,Oasis,splash-true parts-true dedicated-drop
Stomper,c-rare,Quest Reward,assault-rifle-bl2,jakobs,non-elemental,base-game,Hungry Like the Skag Quest,Arid Nexus Badlands,splash-false parts-true quest-reward-bl2
Storm,h-pearlescent,World Drop,sniper-bl2,maliwan,shock,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-true parts-true world-drop-bl2
Striker,f-legendary,World Drop,shotgun-bl2,jakobs,non-elemental,base-game,Old Slappy Named Enemy   Master Gee Raid Boss,Highlands Outwash Hayter's Folly,splash-false parts-true world-drop-bl2
Tattler,g-seraph,Dedicated Drop,smg-bl2,bandit,non-elemental fire shock corrosive slag,pirates-booty,Hyperius Raid Boss   Oasis Seraph Shop Shop,Washburne Refinery Oasis,splash-false parts-true dedicated-drop
Teapot,c-rare,Quest Reward,pistol-bl2,dahl,corrosive,base-game,You Are Cordially Invited: Tea Party Quest,Tundra Express,splash-true parts-true quest-reward-bl2
Teeth of Terramorphous,c-rare,Dedicated Drop,shotgun-bl2,bandit,fire,base-game,Terramorphous Raid Boss,Terramorphous Peak,splash-true parts-true dedicated-drop
Thunderball Fists,f-legendary,World Drop,pistol-bl2,maliwan,shock,base-game,Captain Flynt Boss   Sparky Flynt Named Enemy,Southern Shelf Wam Bam Island,splash-true parts-true world-drop-bl2
Tidal Wave,c-rare,Quest Reward,shotgun-bl2,jakobs,non-elemental,base-game,Uncle Teddy Quest,Arid Nexus Badlands,splash-false parts-true quest-reward-bl2
Tinderbox,c-rare,Dedicated Drop,pistol-bl2,bandit,fire,base-game,Captain Flynt Boss   Sparky Flynt Named Enemy   Snowman in Tundra Express Location,Southern Shelf Wam Bam Island Tundra Express,splash-true parts-true dedicated-drop
Toothpick,i-effervescent,Dedicated Drop,assault-rifle-bl2,dahl,fire,fight-for-sanctuary,Sand Worm Enemy   Sand Worm Queen Enemy,The Burrows The Burrows,splash-false parts-true dedicated-drop
Trespasser,c-rare,Quest Reward,sniper-bl2,jakobs,non-elemental,base-game,Animal Rights Quest,Sanctuary,splash-false parts-true quest-reward-bl2
Triquetra,c-rare,Quest Reward,shotgun-bl2,jakobs,non-elemental,base-game,Clan War: End of the Rainbow Quest,The Holy Spirits,splash-false parts-true quest-reward-bl2
Tunguska,h-pearlescent,World Drop,launcher-bl2,torgue,explosive,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-true parts-true world-drop-bl2
Twister,c-rare,Dedicated Drop,shotgun-bl2,jakobs,shock,big-game-hunt,Omnd-Omnd-Ohk Rare Spawn,Hunter's Grotto,splash-true parts-true dedicated-drop
Unforgiven,h-pearlescent,World Drop,pistol-bl2,jakobs,non-elemental,upgrade-pack-1,OMGWTH Boss   Chubby Spiderant Rare Spawn   Chubby Skag Rare Spawn   Chubby Varkid Rare Spawn,Digistruct Peak DAHL Abandon Arid Nexus Badlands Wam Bam Island,splash-false parts-true world-drop-bl2
Unkempt Harold,f-legendary,World Drop,pistol-bl2,torgue,explosive,base-game,Savage Lee Named Enemy   Torgue Machine Shop,Three Horns Divide Global - DLC 2,splash-true parts-true world-drop-bl2
Veritas,c-rare,Quest Reward,pistol-bl2,vladof,non-elemental fire shock corrosive slag,base-game,Clan War: Wakey Wakey Quest,The Holy Spirits,splash-false parts-true quest-reward-bl2
Veruc,f-legendary,World Drop,assault-rifle-bl2,dahl,non-elemental fire shock corrosive slag,base-game,Mobley Named Enemy   Sorcerer's Daughter Boss,The Dust Lair of Infinite Agony,splash-false parts-true world-drop-bl2
